年份,甲,名,姓名,省,府,州县,坐标,longitude,latitude
1845,3,5,陈应台,广西,平乐府,荔浦县,"110.395263,24.487773",110.395263,24.487773
1845,3,62,莫炽,广西,平乐府,荔浦县,"110.395273,24.487783",110.395273,24.487783
1845,3,97,唐守道,广西,桂林府,灵川县,"110.390139,25.466211",110.390139,25.466211
1847,2,68,朱寿康,广西,桂林府,临桂县,"110.291061,25.274374",110.291061,25.274374
1847,2,74,李士瑞,广西,郁林州,北流县,"110.354440,22.708336",110.35444,22.708336
1847,2,77,栗增熉,广西,桂林府,临桂县,"110.291071,25.274384",110.291071,25.274384
1847,2,96,张培仁,广西,平乐府,贺县,"111.661147,24.328882",111.661147,24.328882
1847,2,100,黄金韶,广西,梧州府,容县,"110.557928,22.857816",110.557928,22.857816
1847,3,55,蒋培,广西,桂林府,全州,"111.073228,25.929007",111.073228,25.929007
1847,3,113,袁铨,广西,浔州府,平南县,"110.392189,23.539177",110.392189,23.539177
1850,2,85,何元恺,广西,平乐府,平乐县,"110.643425,24.633482",110.643425,24.633482
1850,3,35,徐步云,广西,桂林府,临桂县,"110.291081,25.274394",110.291081,25.274394
1850,3,46,周必超,广西,桂林府,临桂县,"110.291091,25.274404",110.291091,25.274404
1850,3,49,黎树桢,广西,浔州府,平南县,"110.392199,23.539187",110.392199,23.539187
1850,3,56,秦镇藩,广西,桂林府,义宁县,"110.069665,25.375613",110.069665,25.375613
1850,3,74,陈继仁,广西,桂林府,临桂县,"110.291101,25.274414",110.291101,25.274414
1850,3,96,李际昌,广西,桂林府,灵川县,"110.390149,25.466221",110.390149,25.466221
1850,2,26,杜寿朋,广西,南宁府,宣化县,"108.365721,22.817731",108.365721,22.817731
1850,2,35,周瑞清,广西,桂林府,临桂县,"110.291111,25.274424",110.291111,25.274424
1850,2,48,周益,广西,桂林府,临桂县,"110.291121,25.274434",110.291121,25.274434
1850,2,69,刘绍向,广西,桂林府,临桂县,"110.291131,25.274444",110.291131,25.274444
1850,2,71,唐启荫,广西,桂林府,临桂县,"110.291141,25.274454",110.291141,25.274454
1850,3,36,邓开运,广西,桂林府,临桂县,"110.291151,25.274464",110.291151,25.274464
1850,3,73,杨久佑,广西,桂林府,兴安县,"110.671691,25.611619",110.671691,25.611619
1852,2,6,蒋英元,广西,桂林府,全州,"111.073238,25.929017",111.073238,25.929017
1852,2,62,陆仁恬,广西,桂林府,临桂县,"110.291161,25.274474",110.291161,25.274474
1852,2,105,朱缃,广西,桂林府,临桂县,"110.291171,25.274484",110.291171,25.274484
1852,3,70,叶灿章,广西,梧州府,岑溪县,"110.994913,22.918350",110.994913,22.91835
1852,3,74,明之纲,广西,梧州府,苍梧县,"111.320585,23.473149",111.320585,23.473149
1853,2,63,雷瑞光,广西,南宁府,宣化县,"108.365731,22.817741",108.365731,22.817741
1853,2,92,靳邦庆,广西,桂林府,临桂县,"110.291181,25.274494",110.291181,25.274494
1853,3,10,陆汝黼,广西,桂林府,灌阳县,"111.160811,25.489422",111.160811,25.489422
1853,3,21,陈秀芝,广西,桂林府,兴安县,"110.671701,25.611629",110.671701,25.611629
1853,3,28,封蔚礽,广西,梧州府,容县,"110.557938,22.857826",110.557938,22.857826
1853,3,51,邓国光,广西,梧州府,藤县,"110.914633,23.374513",110.914633,23.374513
1856,2,61,刘昭文,广西,桂林府,临桂县,"110.291191,25.274504",110.291191,25.274504
1856,3,78,黄湛昌,广西,桂林府,临桂县,"110.291201,25.274514",110.291201,25.274514
1860,2,17,周干臣,广西,桂林府,临桂县,"110.291211,25.274524",110.291211,25.274524
